resource_id,tileid,nodegroup,,,,,,,,,,,,,,,,,,,,
--,--,marriage  (n),marriage_number,p107_has_current_or_former_member,,,,,,,,,,,,,,,,,,
a473981c-5b0d-4424-8c37-246b076b5cec,,,,25428,,,,,,,,,,,,,,,,,,
36efda92-18c3-45b3-9a3b-68e9f87b2d16,,,,24698,,,,,,,,,,,,,,,,,,
60b584d8-3c42-40fe-aac9-36744fbb675b,,,,25650,,,,,,,,,,,,,,,,,,
4b2eb749-1405-48b3-b7f3-2fcc56239838,,,,25390,,,,,,,,,,,,,,,,,,
242c7a60-e508-487b-83d6-fa482110cbc6,,,,23071,,,,,,,,,,,,,,,,,,
8dd77db0-bd4c-4b7a-adae-6cf572a35732,,,,25657,,,,,,,,,,,,,,,,,,
6cae7248-fee1-421a-baba-4a0bfd2526f6,,,,24878,,,,,,,,,,,,,,,,,,
376a5562-4174-4067-8d82-4826bb643115,,,,23335,,,,,,,,,,,,,,,,,,
09066f8e-a1b4-42da-95b2-82ccfe3835db,,,,25268,,,,,,,,,,,,,,,,,,
e28ac5a0-dda3-4b7b-a096-9506272846fa,,,,25753,,,,,,,,,,,,,,,,,,
e761730f-60cf-4059-883b-b45b1553551d,,,,23228,,,,,,,,,,,,,,,,,,
0efc2e69-eb99-42ae-b1bc-87673778999a,,,,25053,,,,,,,,,,,,,,,,,,
81e1abae-278f-4c5c-9290-a26d4f9f02ec,,,,23570,,,,,,,,,,,,,,,,,,
d15738f3-4787-41d1-8449-7712fcbf7557,,,,23166,,,,,,,,,,,,,,,,,,
d732c550-0f91-4be6-942d-841fef6d0b32,,,,25337,,,,,,,,,,,,,,,,,,
2a0f688b-17a0-4ab5-a370-c30d0bc085e0,,,,23672,,,,,,,,,,,,,,,,,,
269574ec-063b-46b8-b8a9-74b48274ff06,,,,25639,,,,,,,,,,,,,,,,,,
02b5abfe-cb81-43a9-be1b-c1e12f0d6a00,,,,23819,,,,,,,,,,,,,,,,,,
b804bdf0-1b09-4cf2-86e7-77a718053ed4,,,,23560,,,,,,,,,,,,,,,,,,
4e2784fd-fd9d-4f8a-94c8-bac3bdba1d09,,,,25745,,,,,,,,,,,,,,,,,,
cf22a524-23db-40ce-b3ef-39d183551667,,,,24024,,,,,,,,,,,,,,,,,,
138b4504-2a49-4080-9290-0e1d797fee81,,,,23749,,,,,,,,,,,,,,,,,,
1f6533e3-5f0c-4c57-b5e3-71cd90f07497,,,,24829,,,,,,,,,,,,,,,,,,
210c3e8b-eef1-4af1-b65c-9892b5a3270f,,,,26320,,,,,,,,,,,,,,,,,,
893fc9a2-183f-44c3-8a85-7a6dc107ebcb,,,,24670,,,,,,,,,,,,,,,,,,
817d5921-8d19-45dc-80a4-6c257e95e758,,,,42041,,,,,,,,,,,,,,,,,,
fcb532da-9130-4f94-b1f8-8289013a91dd,,,,27668,,,,,,,,,,,,,,,,,,
9946dfa8-f9db-4fdc-883d-94a773ead65d,,,,30985,,,,,,,,,,,,,,,,,,
ba915572-738c-479a-a475-72d94e5081a3,,,,42712,,,,,,,,,,,,,,,,,,
7f7a863a-97c3-4545-9081-c5021837cfee,,,,31137,,,,,,,,,,,,,,,,,,
d16f31ca-1c17-4c1a-9b98-334f5358e8d8,,,,27781,,,,,,,,,,,,,,,,,,
a1870bc5-a5d9-446e-8b6c-5da91e2f710b,,,,40776,,,,,,,,,,,,,,,,,,
1e227faa-a7e2-4226-bf1a-9802d38947c3,,,,23098,,,,,,,,,,,,,,,,,,
f6cf186d-bc9a-4c2e-9111-76623e8a5fb0,,,,24237,,,,,,,,,,,,,,,,,,
dc8770d0-b0c1-44c4-9418-8e2696e1bc97,,,,40533,,,,,,,,,,,,,,,,,,
6de52a63-8f62-4178-b88b-e88f1a43843a,,,,40655,,,,,,,,,,,,,,,,,,
f3cff267-70ac-4edb-a6b3-1acd0f7cea08,,,,40752,,,,,,,,,,,,,,,,,,
