id,family id,parent id,1st last name,2nd last name,first name,middle name,Formalized name,full name,birth_place,occupation,Birth_year,death_year,partner first name,parner 1st last name,partner 2nd last name,partner id,statement,Column1
SP15SP000624,,,Paéz,,Bartolomé,,Bartolomé  Paéz ,Bartolomé Paéz,,,0,0,,,,,neighbour of gran canaria,
SP15SP000625,,,Machado,,Pedro,,Pedro  Machado ,Pero Machado,,,0,0,,,,,,
SP15SP000626,,,Baños,,Toribio,,Toribio  Baños ,Toribio de Baños,,,0,0,,,,,,
SP15SP000628,,,Herrera,,Alonso,,Alonso  Herrera ,Alonso de Herrera,,merchants,0,1506,,,,,partner with almonte,
SP15SP000629,,,Gibraleón,,Alonso,,Alonso  Gibraleón ,Alonso Manuel Gibraleón,,merchants,0,0,,,,,partner with almonte,
SP15SP000632,,,Jiménez,,Francisco,,Francisco  Jiménez ,Francisco Jiménez,,haberdashers,0,0,,,,,sombrerero neighbour seville collacionsan isidro,
SP15SP000633,,,Núñez,,Juan,,Juan  Núñez ,Juan Núñez,,,0,0,,,,,collects debt of sugar in canary for leardo,
SP15SP000634,,,Isasaga,,Pedro,,Pedro  Isasaga ,Pedro Isasaga,,public officers,0,0,,,,,judge of the casa de contratacion.,
SP15SP000635,,,Saya,,Diego,,Diego  Saya ,Diego de Saya,,,0,0,,,,,,
SP15SP000636,,,yanes,,Fernando,,Fernando  yanes ,Fernando Yanes,,maritime pilots,0,0,,,,,maestre nao santo espirtu,
SP15SP000637,,,Rodríguez,,álvaro,,álvaro  Rodríguez ,Alvaro Rodrígue,,maestro de azucar,0,0,,,,,maestro de azucar in the plantationeighbour Tomas Giustinnini,
SP15SP000638,,,Pérez,Marchena,Miguel,,Miguel  Pérez Marchena,Miguel Pérez de Marchena,,,0,0,,,,,,
SP15SP000639,,,Alfonso,,Domingo,,Domingo  Alfonso ,Domingo Afonso,,coopers,0,0,,,,,,
SP15SP000640,,,López,,Juan,,Juan  López ,Juan López,,locksmiths,0,0,,,,,locksmiths,
SP15SP000641,,,Fernández,,Diego,,Diego  Fernández ,Diego Fernández,,unskilled workers,0,0,,,,,works as peguero and builder,
SP15SP000642,,,Suárez,,Fernán,,Fernán  Suárez ,Fernán Suárez,,,0,0,,,,,,
SP15SP000643,,,Paéz,,García,,García  Paéz ,García Páez,,,0,0,,,,,,
SP15SP000644,,,Méndez,,Juan,,Juan  Méndez ,Juan Méndez,,,0,0,,,,,,
SP15SP000645,,,Castillo,,Gonzalo,,Gonzalo  Castillo ,Gonzalo del Castillo,,merchants,0,0,Francisca,Castillo,,SP15SP000489,orchilla,
SP15SP000646,,,Yanes,,Álvaro,,Álvaro  Yanes ,álvaro Yanes,,,0,0,,,,,,
SP15SP000647,,,Yanes,,Juan,,Juan  Yanes ,Juan Yanes,,clergy,0,0,,,,,,
SP15SP000648,,,López,,Álvaro,,Álvaro  López ,álvaro López,,unskilled workers,0,0,,,,,,
SP15SP000649,,,Aranda,,Diego,,Diego  Aranda ,Diego de Aranda,,cowboy,0,0,,,,,,
SP15SP000650,,,Estéves,,Pero,,Pero  Estéves ,Pero Estéves,,,0,0,,,,,,
SP15SP000651,,,Tabordo,,Gregorio,,Gregorio  Tabordo ,Gregorio Tabordo,,,0,0,,,,,,
SP15SP000652,,,Torres,,Fernando,,Fernando  Torres ,Fernando Torres,,,0,0,,,,,,
SP15SP000653,,,Guanche,,Alonso,,Alonso  Guanche ,Alonso,,,0,0,,,,,neighbour and guanche,
SP15SP000654,,,Bordón,,Juan,,Juan  Bordón ,Juan Bordón,,,0,0,,,,,,
SP15SP000679,,,,,Juan,,Juan   ,Juan Pancho,,merchants,0,0,,,,,neighbour of tenerife,
SP15SP000680,,,Rodríguez,Malpaís,Martín,,Martín  Rodríguez Malpaís,Martín Rodríguez del Malpaís,,,0,0,,,,,,
SP15SP000716,,,Ruiz,,Antón,,Antón  Ruiz ,Antón Ruiz,,merchants,0,0,,,,,neighbour of san cristobal de gran canaria,
SP15SP000717,,,Ascanio,,Juan,,Juan  Ascanio ,Juan de Ascanio,,,0,0,,,,,,
SP15SP000718,,,Andrada,,Diego,,Diego  Andrada ,Diego de Andrada,,scribes,0,0,,,,,escribano de su majestad,
SP15SP000719,,,Guirardín,,Juan,,Juan  Guirardín ,Juan Alberto Guirardín,,,0,0,,,,,neighbour of tenerife trades sugar and fish with gen.,
