Start date,End date,Name,Number,Note
14850101,14851231,Ambrosius q. A. Spinula,8,
,, ,,
14860101,14861231,Iacobus q. L. Cattaneus,1,
14860101,14861231,Bernardus Cazella,2,
14860101,14861231,Constantinus q. Bart. de Auria,3,
14860101,14861231,Petrus Baptista de Guiso,4,
14860101,14861231,Baptista de Passagio,5,
14860101,14861231,Iohannes Petrus q. B. de Vivaldis,6,
14860101,14861231,Iacobus q. Iac. Iustinianus,7,
14860101,14861231,Marcus Lercarius,8,
,, ,,
14870101,14871231,Iohannes Baptista Adurnus,1,
14870101,14871231,Bartholomeus Calvus,2,
14870101,14871231,Stephanus de Bracellis,3,
14870101,14871231,Gentilis vvv de Camilla,4,
14870101,14871231,Peregrus de Vultabio,5,
14870101,14871231,Antonius Iuliani Salvaigus,6,
14870101,14871231,Pascal vvv Sauli,7,
14870101,14871231,Casanus Spinula,8,
,, ,,
14880101,14881231,Christophorus Cattaneus,1,
14880101,14881231,Augustinus q. Branca de Auria,2,
14880101,14881231,Stephanus de Clavaro,3,
14880101,14881231,Barnabas de Ilice,4,
14880101,14881231,Ambroxius de Marinis,5,
14880101,14881231,Stephanus de Monelia,6,
14880101,14881231,Petrus de Persio,7,
14880101,14881231,Franciscus Lomelinus,8,
,, ,,
14890101,14891231,Elianus Centurionus,1,
14890101,14891231,Enricus de Camilla,2,
14890101,14891231,Angelus draperius de Crovaria,3,
14890101,14891231,Franciscus de Franchis de Burgaro,4,
14890101,14891231,Iohannes q. Andree Gentilis,5,
14890101,14891231,Francus Iustinianus de Bancha,6,
14890101,14891231,Iacobus seapterius Paxerius,7,
14890101,14891231,Antonius Spinula,8,
,, ,,
14900101,14901231,Nicolaus de Amigdola,1,
14900101,14901231,Augustinus de Auria,2,
14900101,14901231,Iulianus de Grimaldis,3,
14900101,14901231,Hieronimus de Illionibus,4,
14900101,14901231,Angelus de Maiollo,5,
14900101,14901231,Baptista Piccamilius,6,
14900101,14901231,Acelinus Salvaigus,7,
