o:id,identifier,o:spouse
24218,c55c3091-d33e-4cf9-9545-413c363ea3c5,23292
24712,5a4b8ef1-f198-4a8c-927b-58d748ce5ef2,23294
41829,f886a644-b795-4977-857d-749c99fdd53d,23297
24930,645bbad5-41ec-423a-a42f-24b77bbe8afd,23298
24791,b56c9245-62d4-4f56-aae1-e73cec496d76,23300
24974,bdad283c-6deb-44eb-b9a2-f0d6208b0a2b,23302
25003,b59175d5-445a-491a-92be-0324d3cc2089,23303
25100,4bb62984-a35a-4546-9c03-38f6ab7df61e,23304
24373,c949354b-2623-4ee1-ace2-1ef06519096a,23306
25139,b3669d71-1973-4ab0-aae6-1f8cdb914578,23307
24116,41689e6a-a163-48de-8970-645e665cb1b8,23309
24768,d3f7d60e-f238-4634-8915-5f730729a917,23311
24188,9dc4d884-d05c-4dec-929b-b82a55879cdf,23314
24410,2e2199a0-5895-44b4-a7dd-5a3f9c08c4a3,23315
24633,308f0501-961d-4a85-8b9a-3d69df029990,23317
23949,27bd0a49-86c2-48ce-9c17-534e7510759d,23322
23771,2a065cd3-ae05-4c9d-82bf-05efd13e28f4,23325
23812,4dd04db7-87b3-4a6a-be9c-b9f3e5d7755b,23329
25211,9ccc5d94-0386-4186-8542-c64a4a714ad0,23332
24821,9b8c2cb3-3a34-487d-9eb5-d8da4a017a1f,23336
24211,af389987-98cd-4c39-8062-ef0a0c4cb621,23337
25011,da3ac49e-3a0c-47ab-9011-a90b59e57faa,23340
24067,6d320be8-1b52-4089-80d8-e00115d25c4c,23341
24426,5fbc2f69-94d3-4cd2-b1b1-ff6f58d11f9f,23344
25029,d8546d78-dddd-4b00-ae72-5b4d43d93d55,23345
25210,8e4dc2ca-62fd-4403-8430-f46f47f9bcd0,23347
24940,76b9d3a7-d9d4-40f1-be5d-11a58e85c318,23349
24010,4990db49-1500-47dd-8a97-0e86573ec128,23353
24528,6eb52aac-0008-4a6e-9492-aa9df4f86b40,23354
24792,1963f136-761a-4269-a637-5c54f67c61b1,23355
25016,8f7bbc49-f1cb-4701-9e7c-690c6b0331f0,23358
24397,d005b96b-547d-491d-835a-512f4ff9a6e1,23363
